date;amount;category;description;account;transactionkind
19.04.2022;55,08;Miete;Rundfunkgebühren;Girokonto;Ausgabe
20.04.2022;8,99;Technische Ausrüstung;Steam;Girokonto;Ausgabe
20.04.2022;100,00;Strom/Wasser;Elektrizitätswerke Schönau;Girokonto;Ausgabe
25.04.2022;10,00;Bücher;Osiander;Girokonto;Ausgabe
25.04.2022;16,48;Freizeit;Cinemax;Girokonto;Ausgabe
03.05.2022;17,10;Versicherungen;BuV Bayrische Lebensversicherung;Girokonto;Ausgabe
03.05.2022;100,00;Versicherungen;Canada Life Assurance;Girokonto;Ausgabe
03.05.2022;954,00;Miete;Miete an KG;Girokonto;Ausgabe
03.05.2022;50,00;Überweisung;Urlaubsgeld;Girokonto;Ausgabe
03.05.2022;350,00;Investition;Trade Republic;Girokonto;Ausgabe
15.05.2022;111,44;Gesundheit;TK;Girokonto;Ausgabe
15.05.2022;7,00;Technische Ausrüstung;Microsoft Office;Girokonto;Ausgabe
